"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","153.25","153.25","153.75","153.18","","0.03%"
"12/28/2023","153.20","153.69","153.97","153.14","","-0.24%"
"12/27/2023","153.57","153.16","153.93","153.16","","0.27%"
"12/26/2023","153.16","153.16","153.20","153.14","","-0.01%"
"12/25/2023","153.18","153.18","153.18","153.18","","0.00%"
"12/22/2023","153.18","152.92","153.39","152.65","","0.07%"
"12/21/2023","153.07","152.80","153.13","152.43","","-0.19%"
"12/20/2023","153.36","153.55","153.62","152.61","","0.09%"
"12/19/2023","153.22","152.62","153.28","152.62","","0.41%"
"12/18/2023","152.60","152.72","153.16","152.36","","-0.37%"
"12/15/2023","153.16","153.31","153.93","152.88","","0.19%"
"12/14/2023","152.87","153.35","154.23","152.11","","0.76%"
"12/13/2023","151.71","151.90","152.35","151.69","","-0.01%"
"12/12/2023","151.73","151.99","152.35","151.54","","-0.22%"
"12/11/2023","152.07","151.72","152.17","151.56","","0.25%"
"12/08/2023","151.69","150.53","151.98","150.45","","0.87%"
"12/07/2023","150.38","150.50","150.55","150.02","","-0.26%"
"12/06/2023","150.77","150.27","151.15","149.99","","0.59%"
"12/05/2023","149.89","148.79","150.02","148.79","","0.64%"
"12/04/2023","148.94","148.86","149.56","148.81","","-0.11%"
"12/01/2023","149.10","148.27","149.14","148.22","","0.87%"
"11/30/2023","147.82","147.46","148.10","147.13","","0.30%"
"11/29/2023","147.38","146.48","147.65","146.48","","0.61%"
"11/28/2023","146.48","146.36","146.53","145.83","","-0.30%"
"11/27/2023","146.92","147.37","147.61","146.90","","-0.35%"
"11/24/2023","147.44","147.02","147.51","146.85","","0.30%"
"11/23/2023","147.00","146.82","147.04","146.61","","0.26%"
"11/22/2023","146.62","146.19","146.87","146.19","","0.42%"
"11/21/2023","146.00","146.39","146.59","145.95","","-0.34%"
"11/20/2023","146.50","146.15","146.56","146.11","","0.25%"
"11/17/2023","146.14","145.14","146.46","145.14","","0.97%"
"11/16/2023","144.74","145.10","145.47","144.71","","-0.41%"
"11/15/2023","145.34","144.87","145.80","144.87","","0.51%"
"11/14/2023","144.60","142.55","144.86","142.31","","1.61%"
"11/13/2023","142.31","142.12","142.59","141.69","","0.70%"
"11/10/2023","141.32","141.79","142.03","140.64","","-0.82%"
"11/09/2023","142.49","141.18","142.61","140.87","","0.86%"
"11/08/2023","141.27","140.20","141.85","140.04","","0.53%"
"11/07/2023","140.53","140.18","140.87","140.07","","-0.12%"
