"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"10/01/2016 23:00:00 - 11/01/2016 00:00:00","BZN|DK1","407.79","n/e"," ","200.45"
"11/01/2016 00:00:00 - 11/01/2016 01:00:00","BZN|DK1","319.21","n/e"," ","179.40"
"11/01/2016 01:00:00 - 11/01/2016 02:00:00","BZN|DK1","317.54","n/e"," ","183.43"
"11/01/2016 02:00:00 - 11/01/2016 03:00:00","BZN|DK1","288.79","n/e"," ","229.01"
"11/01/2016 03:00:00 - 11/01/2016 04:00:00","BZN|DK1","265.46","n/e"," ","164.67"
"11/01/2016 04:00:00 - 11/01/2016 05:00:00","BZN|DK1","249.04","n/e"," ","193.16"
"11/01/2016 05:00:00 - 11/01/2016 06:00:00","BZN|DK1","234.67","n/e"," ","197.89"
"11/01/2016 06:00:00 - 11/01/2016 07:00:00","BZN|DK1","217.04","n/e"," ","160.26"
"11/01/2016 07:00:00 - 11/01/2016 08:00:00","BZN|DK1","196.29","n/e"," ","224.59"
"11/01/2016 08:00:00 - 11/01/2016 09:00:00","BZN|DK1","185.25","n/e"," ","288.14"
"11/01/2016 09:00:00 - 11/01/2016 10:00:00","BZN|DK1","172.92","n/e"," ","216.55"
"11/01/2016 10:00:00 - 11/01/2016 11:00:00","BZN|DK1","173.96","n/e"," ","197.24"
"11/01/2016 11:00:00 - 11/01/2016 12:00:00","BZN|DK1","179.08","n/e"," ","167.75"
"11/01/2016 12:00:00 - 11/01/2016 13:00:00","BZN|DK1","180.33","n/e"," ","147.92"
"11/01/2016 13:00:00 - 11/01/2016 14:00:00","BZN|DK1","168.54","n/e"," ","157.65"
"11/01/2016 14:00:00 - 11/01/2016 15:00:00","BZN|DK1","160.33","n/e"," ","143.87"
"11/01/2016 15:00:00 - 11/01/2016 16:00:00","BZN|DK1","154.54","n/e"," ","160.89"
"11/01/2016 16:00:00 - 11/01/2016 17:00:00","BZN|DK1","157.17","n/e"," ","152.15"
